,1500592394,112
0,1503184394,118
1,1505776394,132
2,1508368394,129
3,1510960394,121
4,1513552394,135
5,1516144394,148
6,1518736394,148
7,1521328394,136
8,1523920394,119
9,1526512394,104
10,1529104394,118
11,1531696394,115
12,1534288394,126
13,1536880394,141
14,1539472394,135
15,1542064394,125
16,1544656394,149
17,1547248394,170
18,1549840394,170
19,1552432394,158
20,1555024394,133
21,1557616394,114
22,1560208394,140
23,1562800394,145
24,1565392394,150
25,1567984394,178
26,1570576394,163
27,1573168394,172
28,1575760394,178
29,1578352394,199
30,1580944394,199
31,1583536394,184
32,1586128394,162
33,1588720394,146
34,1591312394,166
35,1593904394,171
36,1596496394,180
37,1599088394,193
38,1601680394,181
39,1604272394,183
40,1606864394,218
41,1609456394,230
42,1612048394,242
43,1614640394,209
44,1617232394,191
45,1619824394,172
46,1622416394,194
47,1625008394,196
48,1627600394,196
49,1630192394,236
50,1632784394,235
51,1635376394,229
52,1637968394,243
53,1640560394,264
54,1643152394,272
55,1645744394,237
56,1648336394,211
57,1650928394,180
58,1653520394,201
59,1656112394,204
60,1658704394,188
61,1661296394,235
62,1663888394,227
63,1666480394,234
64,1669072394,264
65,1671664394,302
66,1674256394,293
67,1676848394,259
68,1679440394,229
69,1682032394,203
70,1684624394,229
71,1687216394,242
72,1689808394,233
73,1692400394,267
74,1694992394,269
75,1697584394,270
76,1700176394,315
77,1702768394,364
78,1705360394,347
79,1707952394,312
80,1710544394,274
81,1713136394,237
82,1715728394,278
83,1718320394,284
84,1720912394,277
85,1723504394,317
86,1726096394,313
87,1728688394,318
88,1731280394,374
89,1733872394,413
90,1736464394,405
91,1739056394,355
92,1741648394,306
93,1744240394,271
94,1746832394,306
95,1749424394,315
96,1752016394,301
97,1754608394,356
98,1757200394,348
99,1759792394,355
100,1762384394,422
101,1764976394,465
102,1767568394,467
103,1770160394,404
104,1772752394,347
105,1775344394,305
106,1777936394,336
107,1780528394,340
108,1783120394,318
109,1785712394,362
110,1788304394,348
111,1790896394,363
112,1793488394,435
113,1796080394,491
114,1798672394,505
115,1801264394,404
116,1803856394,359
117,1806448394,310
118,1809040394,337
119,1811632394,360
120,1814224394,342
121,1816816394,406
122,1819408394,396
123,1822000394,420
124,1824592394,472
125,1827184394,548
126,1829776394,559
127,1832368394,463
128,1834960394,407
129,1837552394,362
130,1840144394,405
131,1842736394,417
132,1845328394,391
133,1847920394,419
134,1850512394,461
135,1853104394,472
136,1855696394,535
137,1858288394,622
138,1860880394,606
139,1863472394,508
140,1866064394,461
141,1868656394,390
142,1871248394,432
