,model,algo,params,mean_abs_error,mean_squared_error,median_abs_error
0,0.0,fbProphet,{'growth': 'linear'},25.524446456436188,858.5155628667129,27.701974182512735
1,1.0,fbProphet,"{'growth': 'logistic', 'cap': 60000000}",61.0502384476173,4334.567108558311,61.522975410250794
2,2.0,fbProphet,"{'growth': 'logistic', 'cap': 70000000}",61.050822536581805,4336.335502829248,61.63922946732463
3,3.0,fbProphet,"{'growth': 'logistic', 'cap': 80000000}",61.05099094409836,4336.912881606074,61.679935618448184
4,4.0,fbProphet,"{'growth': 'logistic', 'cap': 90000000}",61.051253009543096,4337.799255218699,61.74172048516607
5,5.0,fbProphet,"{'growth': 'logistic', 'cap': 100000000}",61.05116492756794,4337.607206782244,61.73237606275138
6,6.0,fbProphet,"{'growth': 'logistic', 'cap': 110000000}",61.051155171420916,4337.611404485328,61.734081593374384
7,7.0,fbProphet,"{'growth': 'logistic', 'cap': 120000000}",61.051437725592244,4338.462456166063,61.78926434901746
8,8.0,fbProphet,"{'growth': 'logistic', 'cap': 130000000}",61.051444865628284,4338.505429727174,61.79293999303836
9,9.0,fbProphet,"{'growth': 'logistic', 'cap': 140000000}",61.05133396270274,4338.260815996143,61.78090231649251
10,10.0,fbProphet,"{'growth': 'logistic', 'cap': 150000000}",61.051742790332,4339.474588728324,61.85857705154797
11,11.0,fbProphet,"{'growth': 'logistic', 'cap': 160000000}",61.051865359323884,4339.8791963650465,61.886138568309235
12,12.0,fbProphet,"{'growth': 'logistic', 'cap': 170000000}",61.05172054752469,4339.480283334814,61.86202248079073
13,13.0,fbProphet,"{'growth': 'logistic', 'cap': 180000000}",61.05195199495463,4340.195700593949,61.90883576065683
14,14.0,fbProphet,"{'growth': 'logistic', 'cap': 190000000}",61.05219555552767,4340.936864932139,61.95667605534537
