,model,algo,params,mean_abs_error,median_abs_error,mean_squared_error
47,47.0,PyFluxARIMA,"{'family': 'Normal', 'ar': 39, 'ma': 17}",0.06391146017808919,0.07046588786883201,0.005808351185539274
9,9.0,Regression,"{'mode': 'lasso', 'degree': 1}",0.12264327106774377,0.12759120133669766,0.018779460195314422
13,13.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 1}",0.12268711784751336,0.1279291484024072,0.018768002341404837
5,5.0,Regression,"{'mode': 'ridge', 'degree': 1}",0.12268826275834747,0.12794697412918343,0.018767722780308308
1,1.0,Regression,"{'mode': 'linear', 'degree': 1}",0.1226882628294777,0.12794697523664733,0.018767722762954415
2,2.0,Regression,"{'mode': 'linear', 'degree': 2}",0.15066891194165752,0.13330034694899617,0.030693629896187003
6,6.0,Regression,"{'mode': 'ridge', 'degree': 2}",0.15066891386505296,0.13330034273642155,0.03069363103153951
14,14.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 2}",0.15073312152908933,0.1331597166458166,0.030731561526379254
10,10.0,Regression,"{'mode': 'lasso', 'degree': 2}",0.15266962258289019,0.12999972130054493,0.031888712144551724
17,17.0,fbProphet,{'growth': 'linear'},0.4155918014885281,0.45673285434116,0.21829676774667928
48,48.0,PyFluxARIMA,"{'family': 'Cauchy', 'ar': 13, 'ma': 10}",0.45395201449509376,0.49947601383850865,0.25081305761486233
46,46.0,PyFluxARIMA,"{'family': 'Cauchy', 'ar': 12, 'ma': 6}",0.45654781268831773,0.4977542703373077,0.2533745786195806
51,51.0,PyFluxARIMA,"{'family': 'Cauchy', 'ar': 10, 'ma': 6}",0.45997065976779933,0.48089123005326845,0.24354647821764758
11,11.0,Regression,"{'mode': 'lasso', 'degree': 3}",0.4673166560550931,0.5795657663004815,0.2816071458743268
34,34.0,fbProphet,"{'growth': 'logistic', 'cap': 13354.337295572492, 'weekly_seasonality': True}",0.5134338057900588,0.5603131985006475,0.2996289061511932
38,38.0,fbProphet,"{'growth': 'logistic', 'cap': 15262.139058435156, 'weekly_seasonality': True}",0.5182724955807417,0.5655773948714906,0.30444647300220146
45,45.0,fbProphet,"{'growth': 'logistic', 'cap': 18123.841702729154, 'weekly_seasonality': False}",0.5247815533703494,0.573642794395085,0.31104807735926493
26,26.0,fbProphet,"{'growth': 'logistic', 'cap': 9538.733769847162, 'weekly_seasonality': True}",0.5251352085976174,0.5734306001046208,0.31131325314635605
22,22.0,fbProphet,"{'growth': 'logistic', 'cap': 7630.9320069844962, 'weekly_seasonality': True}",0.5257570073784151,0.5751745340253157,0.31204096949961013
37,37.0,fbProphet,"{'growth': 'logistic', 'cap': 14308.238177003825, 'weekly_seasonality': False}",0.5274201029025704,0.5772772180145891,0.3138101255699846
39,39.0,fbProphet,"{'growth': 'logistic', 'cap': 15262.139058435156, 'weekly_seasonality': False}",0.5298685840005137,0.5794952565326563,0.31624310203971634
44,44.0,fbProphet,"{'growth': 'logistic', 'cap': 18123.841702729154, 'weekly_seasonality': True}",0.5305089380945016,0.5811603550219804,0.3169600527065417
40,40.0,fbProphet,"{'growth': 'logistic', 'cap': 16216.039939866489, 'weekly_seasonality': True}",0.5315855929589882,0.5829558723521713,0.31803718709411916
20,20.0,fbProphet,"{'growth': 'logistic', 'cap': 6677.0311255531642, 'weekly_seasonality': True}",0.533257579585145,0.5842689063537676,0.31974928592278035
25,25.0,fbProphet,"{'growth': 'logistic', 'cap': 8584.8328884158291, 'weekly_seasonality': False}",0.5345490587637082,0.5857087191905668,0.32115105182801656
23,23.0,fbProphet,"{'growth': 'logistic', 'cap': 7630.9320069844962, 'weekly_seasonality': False}",0.5360149056939996,0.5877089014055729,0.3226184741978721
43,43.0,fbProphet,"{'growth': 'logistic', 'cap': 17169.940821297823, 'weekly_seasonality': False}",0.5367440717168641,0.5885338174199856,0.32339140075895356
33,33.0,fbProphet,"{'growth': 'logistic', 'cap': 12400.436414141159, 'weekly_seasonality': False}",0.5372382310351267,0.5880671847042497,0.3238931025111619
29,29.0,fbProphet,"{'growth': 'logistic', 'cap': 10492.634651278493, 'weekly_seasonality': False}",0.5376377297399936,0.5894693944603289,0.32430012477231285
27,27.0,fbProphet,"{'growth': 'logistic', 'cap': 9538.733769847162, 'weekly_seasonality': False}",0.5386183907797765,0.5899479859807848,0.32533023268873246
21,21.0,fbProphet,"{'growth': 'logistic', 'cap': 6677.0311255531642, 'weekly_seasonality': False}",0.5387345188933692,0.5908335007949752,0.3255093753510306
41,41.0,fbProphet,"{'growth': 'logistic', 'cap': 16216.039939866489, 'weekly_seasonality': False}",0.5388984403289367,0.5905991951749171,0.32563519868050783
31,31.0,fbProphet,"{'growth': 'logistic', 'cap': 11446.535532709826, 'weekly_seasonality': False}",0.5392907199659357,0.5910231408165957,0.3260459649145466
30,30.0,fbProphet,"{'growth': 'logistic', 'cap': 11446.535532709826, 'weekly_seasonality': True}",0.5398528623941133,0.5913352054096276,0.32659115437680825
32,32.0,fbProphet,"{'growth': 'logistic', 'cap': 12400.436414141159, 'weekly_seasonality': True}",0.5400383614727094,0.591689479504216,0.3268083329675315
42,42.0,fbProphet,"{'growth': 'logistic', 'cap': 17169.940821297823, 'weekly_seasonality': True}",0.5403255575730029,0.5910913677504208,0.3270551218064973
28,28.0,fbProphet,"{'growth': 'logistic', 'cap': 10492.634651278493, 'weekly_seasonality': True}",0.5405132509673963,0.5924213491966785,0.32731003760523286
36,36.0,fbProphet,"{'growth': 'logistic', 'cap': 14308.238177003825, 'weekly_seasonality': True}",0.5407107730745643,0.5926858460765863,0.3275912521245576
18,18.0,fbProphet,"{'growth': 'logistic', 'cap': 5723.1302441218313, 'weekly_seasonality': True}",0.5410218050268816,0.5930014615371996,0.32790646403037405
24,24.0,fbProphet,"{'growth': 'logistic', 'cap': 8584.8328884158291, 'weekly_seasonality': True}",0.54363616838258,0.5958201695894989,0.3305644526505736
15,15.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 3}",0.5449799889882696,0.6621306949589354,0.38977584111765806
19,19.0,fbProphet,"{'growth': 'logistic', 'cap': 5723.1302441218313, 'weekly_seasonality': False}",0.5474046417762735,0.6000086224258538,0.3345692827361806
7,7.0,Regression,"{'mode': 'ridge', 'degree': 3}",0.5475517138733577,0.6644755342543851,0.39366563228354257
3,3.0,Regression,"{'mode': 'linear', 'degree': 3}",0.5475517814166431,0.6644755958387932,0.39366573471028515
35,35.0,fbProphet,"{'growth': 'logistic', 'cap': 13354.337295572492, 'weekly_seasonality': False}",0.5632516507222989,0.6145254293667174,0.351436327027632
0,0.0,Angle Approx Chain Algorithm (GLChainAlgo),{'Standard'},0.6189843220101446,0.7900503942575275,0.4934757118272677
12,12.0,Regression,"{'mode': 'lasso', 'degree': 4}",0.8213934218582635,0.8850064151886928,0.9434042276062152
16,16.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 4}",1.3027303590128372,1.262449604582121,2.511094997643395
8,8.0,Regression,"{'mode': 'ridge', 'degree': 4}",1.306555482615425,1.2653817766155155,2.5267048562466505
