,model,algo,params,mean_squared_error,mean_abs_error,median_abs_error
50,50.0,PyFluxARIMA,"{'ar': 49, 'family': 'Normal', 'ma': 45}",0.0022536328543625835,0.03983386213623218,0.035340532504708144
47,47.0,PyFluxARIMA,"{'ar': 39, 'family': 'Normal', 'ma': 17}",0.011841699807557688,0.08874741848086312,0.08374310029569682
48,48.0,PyFluxARIMA,"{'ar': 13, 'family': 'Cauchy', 'ma': 10}",0.014519648207285027,0.10204937951313289,0.10916262512886832
17,17.0,fbProphet,{'growth': 'linear'},0.03636979588140574,0.1631588059477232,0.18361864213529155
49,49.0,PyFluxARIMA,"{'ar': 13, 'family': 'Cauchy', 'ma': 8}",0.037113262411324684,0.1656677136486444,0.18224199438695543
46,46.0,PyFluxARIMA,"{'ar': 12, 'family': 'Cauchy', 'ma': 6}",0.044107249353917834,0.17689509427647734,0.1896283854371804
0,0.0,Angle Approx Chain Algorithm (GLChainAlgo),{'Standard'},0.05331186048063815,0.19158214733591958,0.16237911832596513
24,24.0,fbProphet,"{'growth': 'logistic', 'cap': 216344.82451923078, 'weekly_seasonality': True}",0.072380602120102,0.22492374495468045,0.24404006640185233
22,22.0,fbProphet,"{'growth': 'logistic', 'cap': 192306.36298076925, 'weekly_seasonality': True}",0.07285189402636857,0.22570795280607886,0.24499058155050074
35,35.0,fbProphet,"{'growth': 'logistic', 'cap': 336537.13221153838, 'weekly_seasonality': False}",0.0747366013042809,0.2287439759874031,0.24517579698556669
28,28.0,fbProphet,"{'growth': 'logistic', 'cap': 264421.74759615387, 'weekly_seasonality': True}",0.0748636439718417,0.22895940522585093,0.24841479223754565
45,45.0,fbProphet,"{'growth': 'logistic', 'cap': 456729.43990384601, 'weekly_seasonality': False}",0.07564916427923507,0.2302522406365455,0.24680114398428432
42,42.0,fbProphet,"{'growth': 'logistic', 'cap': 432690.97836538462, 'weekly_seasonality': True}",0.07614490227215322,0.23104275475381575,0.2506754934045032
27,27.0,fbProphet,"{'growth': 'logistic', 'cap': 240383.28605769225, 'weekly_seasonality': False}",0.07632041393701718,0.2313180274249952,0.24801359310428717
32,32.0,fbProphet,"{'growth': 'logistic', 'cap': 312498.67067307694, 'weekly_seasonality': True}",0.07703813618372546,0.23248521026221072,0.2522414366605715
43,43.0,fbProphet,"{'growth': 'logistic', 'cap': 432690.97836538451, 'weekly_seasonality': False}",0.07750616808207292,0.23324550670877017,0.24997136642756207
41,41.0,fbProphet,"{'growth': 'logistic', 'cap': 408652.51682692295, 'weekly_seasonality': False}",0.07774356811789616,0.2335860052430057,0.25043515277678846
38,38.0,fbProphet,"{'growth': 'logistic', 'cap': 384614.05528846156, 'weekly_seasonality': True}",0.07788095589095914,0.23383293002798639,0.2536542482679212
23,23.0,fbProphet,"{'growth': 'logistic', 'cap': 192306.36298076919, 'weekly_seasonality': False}",0.07809203445357306,0.23408853120455425,0.2509247566895428
44,44.0,fbProphet,"{'growth': 'logistic', 'cap': 456729.43990384619, 'weekly_seasonality': True}",0.07812938921385398,0.23423348213999595,0.25411402220960183
21,21.0,fbProphet,"{'growth': 'logistic', 'cap': 168267.90144230766, 'weekly_seasonality': False}",0.0789058697885576,0.23543073196967548,0.25237968772329616
33,33.0,fbProphet,"{'growth': 'logistic', 'cap': 312498.67067307682, 'weekly_seasonality': False}",0.07890518724823789,0.2354653089471565,0.2523483463132552
25,25.0,fbProphet,"{'growth': 'logistic', 'cap': 216344.82451923072, 'weekly_seasonality': False}",0.078933326497657,0.235476517706062,0.2524211317031731
34,34.0,fbProphet,"{'growth': 'logistic', 'cap': 336537.1322115385, 'weekly_seasonality': True}",0.08008156491841109,0.23730536648223713,0.25739757244975825
30,30.0,fbProphet,"{'growth': 'logistic', 'cap': 288460.20913461543, 'weekly_seasonality': True}",0.0800844641735242,0.2373339612336316,0.2574763475566232
39,39.0,fbProphet,"{'growth': 'logistic', 'cap': 384614.05528846144, 'weekly_seasonality': False}",0.08053754041715697,0.2380192754579572,0.25531016792485767
19,19.0,fbProphet,"{'growth': 'logistic', 'cap': 144229.43990384613, 'weekly_seasonality': False}",0.08071833994549799,0.2382855988750663,0.2554634087236552
18,18.0,fbProphet,"{'growth': 'logistic', 'cap': 144229.43990384619, 'weekly_seasonality': True}",0.08085549193901753,0.23850424397671177,0.25870214791254575
37,37.0,fbProphet,"{'growth': 'logistic', 'cap': 360575.59374999988, 'weekly_seasonality': False}",0.08087552080887381,0.2385520499036281,0.25587295749838446
40,40.0,fbProphet,"{'growth': 'logistic', 'cap': 408652.51682692312, 'weekly_seasonality': True}",0.08097549791121335,0.23872815329171662,0.2590069543673177
20,20.0,fbProphet,"{'growth': 'logistic', 'cap': 168267.90144230772, 'weekly_seasonality': True}",0.08139012501747635,0.23936022980741334,0.2596488159405943
31,31.0,fbProphet,"{'growth': 'logistic', 'cap': 288460.20913461532, 'weekly_seasonality': False}",0.08190897703064119,0.24010848544103136,0.25737116083323514
36,36.0,fbProphet,"{'growth': 'logistic', 'cap': 360575.59375000006, 'weekly_seasonality': True}",0.08361450531275612,0.2428080454473004,0.2634193923868588
26,26.0,fbProphet,"{'growth': 'logistic', 'cap': 240383.28605769234, 'weekly_seasonality': True}",0.08697691595760636,0.24789367862195008,0.2690819267222985
29,29.0,fbProphet,"{'growth': 'logistic', 'cap': 264421.74759615376, 'weekly_seasonality': False}",0.0875098742540025,0.2486296104512024,0.26662469410021117
51,51.0,PyFluxARIMA,"{'ar': 10, 'family': 'Cauchy', 'ma': 6}",0.27866108298526404,0.43177848867818747,0.37056534588204415
9,9.0,Regression,"{'degree': 1, 'mode': 'lasso'}",15.188182400201471,3.377476492460317,3.54917560134159
13,13.0,Regression,"{'degree': 1, 'mode': 'bayesian_ridge'}",15.612401394876331,3.4253762658289566,3.5971029257470133
5,5.0,Regression,"{'degree': 1, 'mode': 'ridge'}",15.838354638954398,3.450623057444874,3.6223642388363237
1,1.0,Regression,"{'degree': 1, 'mode': 'linear'}",15.838481822190365,3.450637217182704,3.6223784067185645
2,2.0,Regression,"{'degree': 2, 'mode': 'linear'}",217.20290459069773,11.714266345370172,10.101862400740876
6,6.0,Regression,"{'degree': 2, 'mode': 'ridge'}",217.25949270159967,11.715731852481408,10.103009178007401
14,14.0,Regression,"{'degree': 2, 'mode': 'bayesian_ridge'}",532.2931921681441,18.071762941704026,15.076681035235106
10,10.0,Regression,"{'degree': 2, 'mode': 'lasso'}",767.5959023392348,21.604779432026,17.841175209201175
7,7.0,Regression,"{'degree': 3, 'mode': 'ridge'}",12040.42455785428,76.25128818285411,45.41105795042775
3,3.0,Regression,"{'degree': 3, 'mode': 'linear'}",12093.116088676199,76.41355482356859,45.49943926348927
15,15.0,Regression,"{'degree': 3, 'mode': 'bayesian_ridge'}",208604.26181610246,306.7754676811319,163.20213976562093
11,11.0,Regression,"{'degree': 3, 'mode': 'lasso'}",253025.2321355887,338.058417810412,180.21393958374085
12,12.0,Regression,"{'degree': 4, 'mode': 'lasso'}",76980845.16947949,5381.679354595423,1911.87697966107
16,16.0,Regression,"{'degree': 4, 'mode': 'bayesian_ridge'}",628058347.6216627,15418.004173944779,5565.101705295246
8,8.0,Regression,"{'degree': 4, 'mode': 'ridge'}",2024853659.0489252,27651.110098208905,9918.96084885407
4,4.0,Regression,"{'degree': 4, 'mode': 'linear'}",2027741377.3626437,27670.790006237185,9925.963322160522
