,model,algo,params,median_abs_error,mean_squared_error,mean_abs_error
48,48.0,PyFluxARIMA,"{'family': 'Cauchy', 'ma': 10, 'ar': 13}",0.034796001568354495,0.002094910316659026,0.03689107498851431
17,17.0,fbProphet,{'growth': 'linear'},0.06505007058750273,0.006733298599790903,0.0700818957335967
47,47.0,PyFluxARIMA,"{'family': 'Normal', 'ma': 17, 'ar': 39}",0.06018182587735249,0.00785738386475586,0.07214005521085416
50,50.0,PyFluxARIMA,"{'family': 'Normal', 'ma': 45, 'ar': 49}",0.04137963015071178,0.012499230862536041,0.08285204114249581
49,49.0,PyFluxARIMA,"{'family': 'Cauchy', 'ma': 8, 'ar': 13}",0.07740713891145407,0.010877384856408745,0.08651967492794287
51,51.0,PyFluxARIMA,"{'family': 'Cauchy', 'ma': 6, 'ar': 10}",0.07759967067541124,0.025798276207152835,0.11949001057758175
46,46.0,PyFluxARIMA,"{'family': 'Cauchy', 'ma': 6, 'ar': 12}",0.12019267304150982,0.027575325395841725,0.13279703103050602
20,20.0,fbProphet,"{'weekly_seasonality': True, 'growth': 'logistic', 'cap': 135134.93436293438}",0.1782128478759017,0.047158477255356775,0.18546553464958146
28,28.0,fbProphet,"{'weekly_seasonality': True, 'growth': 'logistic', 'cap': 212355.0115830116}",0.1792400076371593,0.0479937718184262,0.18726589230503127
26,26.0,fbProphet,"{'weekly_seasonality': True, 'growth': 'logistic', 'cap': 193049.99227799228}",0.17969686167559712,0.048047649695870734,0.18736726540437537
22,22.0,fbProphet,"{'weekly_seasonality': True, 'growth': 'logistic', 'cap': 154439.95366795367}",0.17934049841550015,0.0480809533442767,0.18747089499769162
32,32.0,fbProphet,"{'weekly_seasonality': True, 'growth': 'logistic', 'cap': 250965.05019305021}",0.17965527289938532,0.048201042121454915,0.18768811179540168
30,30.0,fbProphet,"{'weekly_seasonality': True, 'growth': 'logistic', 'cap': 231660.03088803089}",0.17985065093346558,0.04832710452522366,0.18796770998126333
24,24.0,fbProphet,"{'weekly_seasonality': True, 'growth': 'logistic', 'cap': 173744.97297297299}",0.18027586776944715,0.04856696420029708,0.1884712780200409
37,37.0,fbProphet,"{'weekly_seasonality': False, 'growth': 'logistic', 'cap': 289575.08880308882}",0.1787416512352431,0.04864254795130228,0.1884939155533186
21,21.0,fbProphet,"{'weekly_seasonality': False, 'growth': 'logistic', 'cap': 135134.93436293438}",0.1789209862934681,0.04875958639409831,0.18872227393572297
35,35.0,fbProphet,"{'weekly_seasonality': False, 'growth': 'logistic', 'cap': 270270.06949806953}",0.1790585191073295,0.0487980131081614,0.1887995061426969
25,25.0,fbProphet,"{'weekly_seasonality': False, 'growth': 'logistic', 'cap': 173744.97297297299}",0.17986024982495186,0.048986060268937676,0.18913988374611573
45,45.0,fbProphet,"{'weekly_seasonality': False, 'growth': 'logistic', 'cap': 366795.16602316604}",0.17951231315990707,0.048983241772410355,0.18915446064012653
38,38.0,fbProphet,"{'weekly_seasonality': True, 'growth': 'logistic', 'cap': 308880.10810810811}",0.18055779878096084,0.04889268644481565,0.18917407325480218
34,34.0,fbProphet,"{'weekly_seasonality': True, 'growth': 'logistic', 'cap': 270270.06949806953}",0.18112799129925755,0.04905237316388129,0.18946155270156037
