,model,algo,params,mean_abs_error,mean_squared_error,median_abs_error
0,0.0,fbProphet,{'growth': 'linear'},25.521985238790677,922.3786482895946,21.96985381422371
1,1.0,fbProphet,"{'growth': 'logistic', 'cap': 60000000}",29.690350657841126,1203.2996076693585,28.100847231947263
2,2.0,fbProphet,"{'growth': 'logistic', 'cap': 70000000}",29.736718880955625,1207.3725874705788,28.471441156836633
3,3.0,fbProphet,"{'growth': 'logistic', 'cap': 80000000}",29.643600050147363,1199.4269414878504,27.872307194638676
4,4.0,fbProphet,"{'growth': 'logistic', 'cap': 90000000}",29.682988102177408,1202.6666544246054,28.23798714139805
5,5.0,fbProphet,"{'growth': 'logistic', 'cap': 100000000}",29.723155978107677,1206.062020979571,28.277720445446604
6,6.0,fbProphet,"{'growth': 'logistic', 'cap': 110000000}",29.65948995149215,1200.8926624032626,27.868317128876534
7,7.0,fbProphet,"{'growth': 'logistic', 'cap': 120000000}",29.76353045489391,1209.683138640465,28.54616887936607
8,8.0,fbProphet,"{'growth': 'logistic', 'cap': 130000000}",29.723089932908284,1206.0601566315584,28.354997865261794
9,9.0,fbProphet,"{'growth': 'logistic', 'cap': 140000000}",29.65290295394771,1200.3096121238932,27.87526286525521
10,10.0,fbProphet,"{'growth': 'logistic', 'cap': 150000000}",29.740462799411105,1207.583114861871,28.403707123648314
11,11.0,fbProphet,"{'growth': 'logistic', 'cap': 160000000}",29.70465129292313,1204.47651187685,28.194616823783058
12,12.0,fbProphet,"{'growth': 'logistic', 'cap': 170000000}",29.72502856001946,1206.2063731461162,28.2955359887943
13,13.0,fbProphet,"{'growth': 'logistic', 'cap': 180000000}",29.754372778409763,1208.8617851570016,28.509393813280774
14,14.0,fbProphet,"{'growth': 'logistic', 'cap': 190000000}",29.696129716959973,1203.7472416339951,28.18949916542394
