,model,algo,params,mean_abs_error,mean_squared_error,median_abs_error
10,10.0,Regression,"{'degree': 2, 'mode': 'lasso'}",0.10406483925193631,0.03300567838750001,0.052380281857958365
14,14.0,Regression,"{'degree': 2, 'mode': 'bayesian_ridge'}",0.10485058479933233,0.03387503288957697,0.05097538590517689
6,6.0,Regression,"{'degree': 2, 'mode': 'ridge'}",0.10485146226842623,0.03387597915943092,0.050972805128300644
2,2.0,Regression,"{'degree': 2, 'mode': 'linear'}",0.10485146242836033,0.033875979331908807,0.05097280465790907
1,1.0,Regression,"{'degree': 1, 'mode': 'linear'}",0.10906583248205966,0.037885288722323704,0.044844137950154225
5,5.0,Regression,"{'degree': 1, 'mode': 'ridge'}",0.10906583250607339,0.03788528874477838,0.0448441379645778
13,13.0,Regression,"{'degree': 1, 'mode': 'bayesian_ridge'}",0.10906589841830946,0.03788535037787536,0.044844177554007866
9,9.0,Regression,"{'degree': 1, 'mode': 'lasso'}",0.10916230713856755,0.0379757319255739,0.04532627707912855
46,46.0,PyFluxARIMA,"{'ar': 12, 'ma': 6, 'family': 'Cauchy'}",0.17436596942923135,0.07082408043643325,0.11261366198978359
49,49.0,PyFluxARIMA,"{'ar': 13, 'ma': 8, 'family': 'Cauchy'}",0.17749599057174456,0.0724535720171816,0.11638700678234622
47,47.0,PyFluxARIMA,"{'ar': 39, 'ma': 17, 'family': 'Normal'}",0.18583101303857993,0.07540508140243103,0.1267867363915997
0,0.0,Angle Approx Chain Algorithm (GLChainAlgo),{'Standard'},0.18623885099784862,0.08150941197161812,0.1464780783727646
50,50.0,PyFluxARIMA,"{'ar': 49, 'ma': 45, 'family': 'Normal'}",0.19072901752441768,0.07841099245981725,0.1316541724726963
25,25.0,fbProphet,"{'growth': 'logistic', 'weekly_seasonality': False, 'cap': 26000.810997215776}",0.20567124907999582,0.08545472788583283,0.1488900599778905
36,36.0,fbProphet,"{'growth': 'logistic', 'weekly_seasonality': True, 'cap': 43334.685004895189}",0.20662939964223617,0.0858054472950438,0.149592062750583
39,39.0,fbProphet,"{'growth': 'logistic', 'weekly_seasonality': False, 'cap': 46223.664006175088}",0.2076679414398849,0.08633455315217083,0.15212516407733104
22,22.0,fbProphet,"{'growth': 'logistic', 'weekly_seasonality': True, 'cap': 23111.831995935874}",0.20849213947968004,0.08663687559558605,0.1528103389528646
23,23.0,fbProphet,"{'growth': 'logistic', 'weekly_seasonality': False, 'cap': 23111.831995935874}",0.20856451787099162,0.08662513135287647,0.1529193490330619
40,40.0,fbProphet,"{'growth': 'logistic', 'weekly_seasonality': True, 'cap': 49112.643007454993}",0.20857219275744351,0.08663656195970365,0.15273521002000096
