,model,algo,params,mean_abs_error,median_abs_error,mean_squared_error
0,0.0,fbProphet,{'growth': 'linear'},36.06851119414732,31.656982754830835,1797.6972216946217
1,1.0,fbProphet,"{'growth': 'logistic', 'cap': 60000000}",53.9447941788193,51.4267248377364,3746.427918981636
2,2.0,fbProphet,"{'growth': 'logistic', 'cap': 70000000}",54.74680527290372,50.91946598293913,3875.2310223270397
3,3.0,fbProphet,"{'growth': 'logistic', 'cap': 80000000}",54.062671123720634,51.026450950650144,3768.646073508567
4,4.0,fbProphet,"{'growth': 'logistic', 'cap': 90000000}",54.605818701506315,51.01808569214984,3851.63964210574
5,5.0,fbProphet,"{'growth': 'logistic', 'cap': 100000000}",54.863963843535196,50.49147419399105,3896.974877516907
6,6.0,fbProphet,"{'growth': 'logistic', 'cap': 110000000}",54.48848431799546,50.997869983349915,3832.7258004983073
7,7.0,fbProphet,"{'growth': 'logistic', 'cap': 120000000}",54.673115472945675,51.04776933394021,3861.268267895577
8,8.0,fbProphet,"{'growth': 'logistic', 'cap': 130000000}",54.23178878125746,51.33459588630643,3790.830364847
9,9.0,fbProphet,"{'growth': 'logistic', 'cap': 140000000}",54.72176634442927,51.01457005414301,3869.1016930109986
10,10.0,fbProphet,"{'growth': 'logistic', 'cap': 150000000}",54.35353507741918,51.14071680041286,3810.9816993361346
11,11.0,fbProphet,"{'growth': 'logistic', 'cap': 160000000}",54.46540180629117,50.678042451104886,3832.862735280997
12,12.0,fbProphet,"{'growth': 'logistic', 'cap': 170000000}",54.43604463064362,50.95227619267911,3825.885312922106
13,13.0,fbProphet,"{'growth': 'logistic', 'cap': 180000000}",54.59876515541315,50.97055699769203,3849.945468905462
14,14.0,fbProphet,"{'growth': 'logistic', 'cap': 190000000}",54.892816592140576,50.91771229098521,3896.7806249268606
