,model,algo,params,mean_abs_error,mean_squared_error,median_abs_error
0,0.0,fbProphet,{'growth': 'linear'},36.06851119414732,1797.6972216946217,31.656982754830835
1,1.0,fbProphet,"{'cap': 60000000, 'growth': 'logistic'}",53.9447941788193,3746.427918981636,51.4267248377364
2,2.0,fbProphet,"{'cap': 70000000, 'growth': 'logistic'}",54.74680527290372,3875.2310223270397,50.91946598293913
3,3.0,fbProphet,"{'cap': 80000000, 'growth': 'logistic'}",54.062671123720634,3768.646073508567,51.026450950650144
4,4.0,fbProphet,"{'cap': 90000000, 'growth': 'logistic'}",54.605818701506315,3851.63964210574,51.01808569214984
5,5.0,fbProphet,"{'cap': 100000000, 'growth': 'logistic'}",54.863963843535196,3896.974877516907,50.49147419399105
6,6.0,fbProphet,"{'cap': 110000000, 'growth': 'logistic'}",54.48848431799546,3832.7258004983073,50.997869983349915
7,7.0,fbProphet,"{'cap': 120000000, 'growth': 'logistic'}",54.673115472945675,3861.268267895577,51.04776933394021
8,8.0,fbProphet,"{'cap': 130000000, 'growth': 'logistic'}",54.23178878125746,3790.830364847,51.33459588630643
9,9.0,fbProphet,"{'cap': 140000000, 'growth': 'logistic'}",54.72176634442927,3869.1016930109986,51.01457005414301
10,10.0,fbProphet,"{'cap': 150000000, 'growth': 'logistic'}",54.35353507741918,3810.9816993361346,51.14071680041286
11,11.0,fbProphet,"{'cap': 160000000, 'growth': 'logistic'}",54.46540180629117,3832.862735280997,50.678042451104886
12,12.0,fbProphet,"{'cap': 170000000, 'growth': 'logistic'}",54.43604463064362,3825.885312922106,50.95227619267911
13,13.0,fbProphet,"{'cap': 180000000, 'growth': 'logistic'}",54.59876515541315,3849.945468905462,50.97055699769203
14,14.0,fbProphet,"{'cap': 190000000, 'growth': 'logistic'}",54.892816592140576,3896.7806249268606,50.91771229098521
15,15.0,fbProphet,{'growth': 'linear'},36.06851119414732,1797.6972216946217,31.656982754830835
16,16.0,fbProphet,"{'cap': 60000000, 'growth': 'logistic'}",53.9447941788193,3746.427918981636,51.4267248377364
17,17.0,fbProphet,"{'cap': 70000000, 'growth': 'logistic'}",54.74680527290372,3875.2310223270397,50.91946598293913
18,18.0,fbProphet,"{'cap': 80000000, 'growth': 'logistic'}",54.062671123720634,3768.646073508567,51.026450950650144
19,19.0,fbProphet,"{'cap': 90000000, 'growth': 'logistic'}",54.605818701506315,3851.63964210574,51.01808569214984
20,20.0,fbProphet,"{'cap': 100000000, 'growth': 'logistic'}",54.863963843535196,3896.974877516907,50.49147419399105
21,21.0,fbProphet,"{'cap': 110000000, 'growth': 'logistic'}",54.48848431799546,3832.7258004983073,50.997869983349915
22,22.0,fbProphet,"{'cap': 120000000, 'growth': 'logistic'}",54.673115472945675,3861.268267895577,51.04776933394021
23,23.0,fbProphet,"{'cap': 130000000, 'growth': 'logistic'}",54.23178878125746,3790.830364847,51.33459588630643
24,24.0,fbProphet,"{'cap': 140000000, 'growth': 'logistic'}",54.72176634442927,3869.1016930109986,51.01457005414301
25,25.0,fbProphet,"{'cap': 150000000, 'growth': 'logistic'}",54.35353507741918,3810.9816993361346,51.14071680041286
26,26.0,fbProphet,"{'cap': 160000000, 'growth': 'logistic'}",54.46540180629117,3832.862735280997,50.678042451104886
27,27.0,fbProphet,"{'cap': 170000000, 'growth': 'logistic'}",54.43604463064362,3825.885312922106,50.95227619267911
28,28.0,fbProphet,"{'cap': 180000000, 'growth': 'logistic'}",54.59876515541315,3849.945468905462,50.97055699769203
29,29.0,fbProphet,"{'cap': 190000000, 'growth': 'logistic'}",54.892816592140576,3896.7806249268606,50.91771229098521
