,model,algo,params,mean_abs_error,mean_squared_error,median_abs_error
0,0.0,fbProphet,{'growth': 'linear'},28.137862741821323,1048.6884262744773,27.07742352787711
1,1.0,fbProphet,"{'cap': 60000000, 'growth': 'logistic'}",31.010765825624766,1265.096241275137,31.841214068680124
2,2.0,fbProphet,"{'cap': 70000000, 'growth': 'logistic'}",30.57382478171546,1225.200191441009,29.482675236858228
3,3.0,fbProphet,"{'cap': 80000000, 'growth': 'logistic'}",30.720906114029432,1237.652241315973,30.198915879937985
4,4.0,fbProphet,"{'cap': 90000000, 'growth': 'logistic'}",30.776044447390706,1242.6784078075202,30.492869046302566
5,5.0,fbProphet,"{'cap': 100000000, 'growth': 'logistic'}",30.858852307291748,1249.7549560025898,30.853560327925287
6,6.0,fbProphet,"{'cap': 110000000, 'growth': 'logistic'}",30.953707832306268,1259.0896871337875,31.465797498821576
7,7.0,fbProphet,"{'cap': 120000000, 'growth': 'logistic'}",30.520452956050722,1220.49243007595,29.17147453250749
8,8.0,fbProphet,"{'cap': 130000000, 'growth': 'logistic'}",31.070215953175143,1270.4383488897042,32.10574308459241
9,9.0,fbProphet,"{'cap': 140000000, 'growth': 'logistic'}",30.604920211164433,1227.823434491189,29.62355990044973
10,10.0,fbProphet,"{'cap': 150000000, 'growth': 'logistic'}",31.198055615217594,1281.2164979654149,32.33809448489388
11,11.0,fbProphet,"{'cap': 160000000, 'growth': 'logistic'}",30.52212394250456,1220.7665973625644,29.220742904836147
12,12.0,fbProphet,"{'cap': 170000000, 'growth': 'logistic'}",30.800452265795975,1245.4913131609983,30.776002286575142
13,13.0,fbProphet,"{'cap': 180000000, 'growth': 'logistic'}",30.761970993757657,1241.011947955805,30.364864518472903
14,14.0,fbProphet,"{'cap': 190000000, 'growth': 'logistic'}",30.570639325736348,1224.9472817029832,29.49740003188453
