,model,algo,params,median_abs_error,mean_abs_error,mean_squared_error,r^2_score
3,3.0,GLChainAlgo,{'Standard'},45.37633918575432,41.131783735017116,2306.165966416331,0.7426030643508998
48,48.0,fbProphet,"{'cap': 72697043.400000021, 'weekly_seasonality': False, 'growth': 'logistic'}",44.1839562176894,49.34937527418286,3488.1744537406335,0.6106761488647234
42,42.0,fbProphet,"{'cap': 69919777.800000027, 'weekly_seasonality': False, 'growth': 'logistic'}",48.42502998940728,49.815390385155354,3676.291813268231,0.5896799011575182
39,39.0,fbProphet,"{'cap': 68994022.600000024, 'weekly_seasonality': True, 'growth': 'logistic'}",50.43990854629391,51.37565805166345,3899.1297494748123,0.5648084032856304
41,41.0,fbProphet,"{'cap': 69919777.800000027, 'weekly_seasonality': True, 'growth': 'logistic'}",51.235168734963906,51.5143931576333,3920.0296026541437,0.5624757185429814
43,43.0,fbProphet,"{'cap': 70845533.00000003, 'weekly_seasonality': True, 'growth': 'logistic'}",50.89457317180086,51.612699415385144,3921.2336414574493,0.5623413327689796
46,46.0,fbProphet,"{'cap': 71771288.200000018, 'weekly_seasonality': False, 'growth': 'logistic'}",50.809674399347955,52.13308745585551,3964.326046848544,0.5575316819203666
47,47.0,fbProphet,"{'cap': 72697043.400000021, 'weekly_seasonality': True, 'growth': 'logistic'}",51.2527447259929,52.59947930219402,4021.228572888122,0.5511806490603854
45,45.0,fbProphet,"{'cap': 71771288.200000018, 'weekly_seasonality': True, 'growth': 'logistic'}",52.086519975451836,52.762154245111425,4067.3140155206174,0.5460369378598988
38,38.0,fbProphet,"{'cap': 68068267.400000021, 'weekly_seasonality': False, 'growth': 'logistic'}",52.091406336287264,53.243219643546446,4107.429279044179,0.5415595732408354
44,44.0,fbProphet,"{'cap': 70845533.00000003, 'weekly_seasonality': False, 'growth': 'logistic'}",53.20539742613471,53.51894889108436,4186.027852347177,0.5327869904305786
35,35.0,fbProphet,"{'cap': 67142512.200000018, 'weekly_seasonality': True, 'growth': 'logistic'}",53.73909061536699,54.830939802400266,4213.32849495302,0.529739897614915
40,40.0,fbProphet,"{'cap': 68994022.600000024, 'weekly_seasonality': False, 'growth': 'logistic'}",55.896474001688546,56.67502516711131,4551.781752995526,0.4919642853002598
36,36.0,fbProphet,"{'cap': 67142512.200000018, 'weekly_seasonality': False, 'growth': 'logistic'}",56.596412907511706,58.947657870547275,4667.062824259274,0.47909747739755526
34,34.0,fbProphet,"{'cap': 66216757.000000015, 'weekly_seasonality': False, 'growth': 'logistic'}",57.21129994852805,60.845624139175655,4808.203596136739,0.4633444038089869
37,37.0,fbProphet,"{'cap': 68068267.400000021, 'weekly_seasonality': True, 'growth': 'logistic'}",60.86101906189646,61.84410974503973,5077.021719446189,0.43334094256880706
33,33.0,fbProphet,"{'cap': 66216757.000000015, 'weekly_seasonality': True, 'growth': 'logistic'}",59.52511255752313,63.1542174381194,5091.077188619277,0.4317721765966488
32,32.0,fbProphet,"{'cap': 65291001.800000012, 'weekly_seasonality': False, 'growth': 'logistic'}",62.56388991926116,67.05677858137324,5526.6177524294235,0.3831604079259744
31,31.0,fbProphet,"{'cap': 65291001.800000012, 'weekly_seasonality': True, 'growth': 'logistic'}",63.93230558203271,68.3682134453,5706.099296499316,0.3631280251218223
30,30.0,fbProphet,"{'cap': 64365246.600000016, 'weekly_seasonality': False, 'growth': 'logistic'}",66.01877421322217,70.97004569778026,6014.135335425776,0.3287473545006325
29,29.0,fbProphet,"{'cap': 64365246.600000016, 'weekly_seasonality': True, 'growth': 'logistic'}",68.133727920247,73.60747890718467,6406.84096245215,0.2849164999651186
27,27.0,fbProphet,"{'cap': 63439491.400000013, 'weekly_seasonality': True, 'growth': 'logistic'}",69.7223941215509,74.38692557322209,6490.107128455439,0.275622955491474
28,28.0,fbProphet,"{'cap': 63439491.400000013, 'weekly_seasonality': False, 'growth': 'logistic'}",74.6135705400007,78.56896705449158,7154.488792086488,0.20146966088457108
25,25.0,fbProphet,"{'cap': 62513736.20000001, 'weekly_seasonality': True, 'growth': 'logistic'}",83.09104600645315,85.08652260134322,8286.209551834272,0.07515548410300166
26,26.0,fbProphet,"{'cap': 62513736.20000001, 'weekly_seasonality': False, 'growth': 'logistic'}",83.75417086830743,85.6002101992555,8376.422837217326,0.06508655430758037
0,0.0,SVReg,"{'c': 1, 'kernel': 'linear'}",83.0466298334818,86.00306575113022,8677.073411859246,0.0315301937763276
24,24.0,fbProphet,"{'cap': 61587981.000000015, 'weekly_seasonality': False, 'growth': 'logistic'}",99.98516854554532,92.2672115027737,9734.742508185273,-0.08651889214792652
16,16.0,fbProphet,{'growth': 'linear'},89.99304318683085,94.50632317934921,10185.989675830248,-0.1368837140486865
15,15.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 3}",108.60228941834328,95.9770671766976,10436.26963210641,-0.16481808422759525
23,23.0,fbProphet,"{'cap': 61587981.000000015, 'weekly_seasonality': True, 'growth': 'logistic'}",106.32047275604504,98.50920438166894,10983.953621267181,-0.22594646031456067
11,11.0,Regression,"{'mode': 'lasso', 'degree': 2}",29.083300288428973,74.65577588536769,11427.5673752225,-0.2754592978738324
5,5.0,Regression,"{'mode': 'linear', 'degree': 2}",29.046833576589677,74.69048653312983,11437.360418449769,-0.27655232385465345
8,8.0,Regression,"{'mode': 'ridge', 'degree': 2}",29.04454465314211,74.6926658079713,11437.975500060378,-0.27662097464737645
14,14.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 2}",28.305453490289324,75.87135945438229,11765.772247533305,-0.313207187237438
21,21.0,fbProphet,"{'cap': 60662225.800000012, 'weekly_seasonality': True, 'growth': 'logistic'}",126.8024986189555,107.36408410545562,13186.900668829248,-0.4718228749773128
22,22.0,fbProphet,"{'cap': 60662225.800000012, 'weekly_seasonality': False, 'growth': 'logistic'}",128.04093160606698,109.2411078084803,13598.249962979366,-0.5177345957023365
4,4.0,Regression,"{'mode': 'linear', 'degree': 1}",115.42241425292445,119.06827584729463,15426.429022599144,-0.7217822204685729
7,7.0,Regression,"{'mode': 'ridge', 'degree': 1}",115.4233388703426,119.06921841844897,15426.653812481678,-0.7218073098280429
10,10.0,Regression,"{'mode': 'lasso', 'degree': 1}",115.42805731551891,119.07402848392002,15427.80097350639,-0.7219353473313088
13,13.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 1}",115.54152942008625,119.18970393032362,15455.402957443892,-0.7250160736046174
20,20.0,fbProphet,"{'cap': 59736470.600000009, 'weekly_seasonality': False, 'growth': 'logistic'}",154.07241173670525,129.0307933934854,19061.416349207386,-1.1274922225315231
19,19.0,fbProphet,"{'cap': 59736470.600000009, 'weekly_seasonality': True, 'growth': 'logistic'}",154.1464304099951,129.4942927516889,19185.41211649368,-1.1413316993938705
51,51.0,PyFluxARIMA,"{'ma': 10, 'family': 'Cauchy', 'ar': 13}",155.03673648487222,134.94225849950058,20398.799529939362,-1.2767608950911082
52,52.0,PyFluxARIMA,"{'ma': 8, 'family': 'Cauchy', 'ar': 13}",155.00029542070763,141.48930601500527,22689.80414881876,-1.5324656349255323
12,12.0,Regression,"{'mode': 'lasso', 'degree': 3}",166.90907969823593,144.88129169429848,24328.77949438957,-1.715395761246802
17,17.0,fbProphet,"{'cap': 58810715.400000006, 'weekly_seasonality': True, 'growth': 'logistic'}",189.86701018485286,159.43430078306477,28965.33564783527,-2.2328933582287056
18,18.0,fbProphet,"{'cap': 58810715.400000006, 'weekly_seasonality': False, 'growth': 'logistic'}",190.47768012352253,160.24569639876952,29205.01584356883,-2.259644662695081
9,9.0,Regression,"{'mode': 'ridge', 'degree': 3}",191.90330589411911,172.84915512680993,35238.30016843672,-2.9330345746683073
6,6.0,Regression,"{'mode': 'linear', 'degree': 3}",191.9168531002449,172.86401280340408,35244.69554218075,-2.9337483782834926
1,1.0,SVReg,"{'c': 1, 'degree': 2, 'kernel': 'poly'}",257.42971633398474,308.4987103603677,118737.31960046415,-12.252568400287393
2,2.0,SVReg,"{'c': 1, 'kernel': 'rbf', 'gamma': 'auto'}",681.5703749927075,642.1769147698739,421353.5580802,-46.0283215753212
49,49.0,PyFluxARIMA,"{'ma': 6, 'family': 'Cauchy', 'ar': 12}",1988.26836693511,168833.18487674237,205421843297.5244,-22927643.3023472
53,53.0,PyFluxARIMA,"{'ma': 45, 'family': 'Normal', 'ar': 49}",15513.160894904404,13406325.13334912,1737852456239777.2,-193966047265.53333
54,54.0,PyFluxARIMA,"{'ma': 6, 'family': 'Cauchy', 'ar': 10}",62853.758166503525,167578036.419596,2.939077834839959e+17,-32803780791958.934
50,50.0,PyFluxARIMA,"{'ma': 17, 'family': 'Normal', 'ar': 39}",6354344628.578276,1.2488955506352661e+17,3.0975715638914094e+35,-3.4572768834084094e+31
