,model,algo,params,median_abs_error,mean_abs_error,mean_squared_error
51,51.0,PyFluxARIMA,"{'ar': 10, 'family': 'Cauchy', 'ma': 6}",7.14143041741222e-06,8.011735067301281e-06,9.487901183377827e-11
48,48.0,PyFluxARIMA,"{'ar': 13, 'family': 'Cauchy', 'ma': 10}",1.3302846252782885e-05,1.4845252136718979e-05,3.2332530506874003e-10
49,49.0,PyFluxARIMA,"{'ar': 13, 'family': 'Cauchy', 'ma': 8}",3.221687319471256e-05,3.355632024997434e-05,1.5157390054592738e-09
46,46.0,PyFluxARIMA,"{'ar': 12, 'family': 'Cauchy', 'ma': 6}",4.47652882912819e-05,4.949487316414887e-05,3.538245904253846e-09
17,17.0,fbProphet,{'growth': 'linear'},5.726112526555083e-05,5.1197275652089565e-05,3.1563895645605273e-09
1,1.0,Regression,"{'mode': 'linear', 'degree': 1}",0.00022139475478055726,0.00022139475478051524,5.147349906745366e-08
2,2.0,Regression,"{'mode': 'linear', 'degree': 2}",0.001232849579106965,0.0012914123626679714,2.01462224543314e-06
5,5.0,Regression,"{'mode': 'ridge', 'degree': 1}",0.001544156403057828,0.0015441564030577546,2.505124827643831e-06
6,6.0,Regression,"{'mode': 'ridge', 'degree': 2}",0.005530382496865105,0.00579561199003519,4.062916271542349e-05
3,3.0,Regression,"{'mode': 'linear', 'degree': 3}",0.005302976492202793,0.0061203006467899675,5.357321596935955e-05
13,13.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 1}",0.007657929362905103,0.007657929362905094,6.167343123228671e-05
9,9.0,Regression,"{'mode': 'lasso', 'degree': 1}",0.008868669289749831,0.00886866928974984,8.167386587141476e-05
0,0.0,Angle Approx Chain Algorithm (GLChainAlgo),{'Standard'},0.01890880132853867,0.018908801328538682,0.00036112920879157845
7,7.0,Regression,"{'mode': 'ridge', 'degree': 3}",0.017375492685750227,0.02007870658175214,0.0005777554324923404
50,50.0,PyFluxARIMA,"{'ar': 49, 'family': 'Normal', 'ma': 45}",0.01888345781388956,0.021454504500862264,0.0007054445172657613
14,14.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 2}",0.021818867567541533,0.022887360041312973,0.0006354654748571897
4,4.0,Regression,"{'mode': 'linear', 'degree': 4}",0.01905731231911545,0.02524525966502128,0.0010704213331863837
10,10.0,Regression,"{'mode': 'lasso', 'degree': 2}",0.050418891639732344,0.052518130399014845,0.0032755850530047366
15,15.0,Regression,"{'mode': 'bayesian_ridge', 'degree': 3}",0.053790294668707994,0.06233891400679135,0.005594635387078748
8,8.0,Regression,"{'mode': 'ridge', 'degree': 4}",0.048116742440398874,0.06389752961651714,0.006875164750444981
18,18.0,fbProphet,"{'weekly_seasonality': True, 'cap': 129869.83549783552, 'growth': 'logistic'}",0.059572056800512474,0.0706238707123798,0.007580349197201782
19,19.0,fbProphet,"{'weekly_seasonality': False, 'cap': 130434.48260869567, 'growth': 'logistic'}",0.05976694708093261,0.07102108890747245,0.007684228528654997
20,20.0,fbProphet,"{'weekly_seasonality': True, 'cap': 152838.1222707424, 'growth': 'logistic'}",0.06009429565577379,0.07139033411851607,0.007775280694898277
