date,y
2017-07-27 15:03:00.732944,27.0
2017-07-28 15:03:00.732944,19.0
2017-07-29 15:03:00.732944,55.0
2017-07-30 15:03:00.732944,47.0
2017-07-31 15:03:00.732944,75.0
2017-08-01 15:03:00.732944,13.0
2017-08-02 15:03:00.732944,63.0
2017-08-03 15:03:00.732944,51.0
2017-08-04 15:03:00.732944,74.0
2017-08-05 15:03:00.732944,43.0
2017-08-06 15:03:00.732944,38.0
2017-08-07 15:03:00.732944,12.0
2017-08-08 15:03:00.732944,0.0
2017-08-09 15:03:00.732944,83.0
2017-08-10 15:03:00.732944,98.0
2017-08-11 15:03:00.732944,97.0
2017-08-12 15:03:00.732944,50.0
2017-08-13 15:03:00.732944,85.0
2017-08-14 15:03:00.732944,22.0
2017-08-15 15:03:00.732944,2.0
2017-08-16 15:03:00.732944,63.0
2017-08-17 15:03:00.732944,76.0
2017-08-18 15:03:00.732944,35.0
2017-08-19 15:03:00.732944,8.0
2017-08-20 15:03:00.732944,75.0
2017-08-21 15:03:00.732944,16.0
2017-08-22 15:03:00.732944,0.0
2017-08-23 15:03:00.732944,46.0
2017-08-24 15:03:00.732944,32.0
2017-08-25 15:03:00.732944,88.0
2017-08-26 15:03:00.732944,47.0
2017-08-27 15:03:00.732944,1.0
2017-08-28 15:03:00.732944,45.0
2017-08-29 15:03:00.732944,29.0
2017-08-30 15:03:00.732944,69.0
2017-08-31 15:03:00.732944,63.0
2017-09-01 15:03:00.732944,1.0
2017-09-02 15:03:00.732944,16.0
2017-09-03 15:03:00.732944,30.0
2017-09-04 15:03:00.732944,76.0
2017-09-05 15:03:00.732944,89.0
2017-09-06 15:03:00.732944,35.0
2017-09-07 15:03:00.732944,96.0
2017-09-08 15:03:00.732944,60.0
2017-09-09 15:03:00.732944,5.0
2017-09-10 15:03:00.732944,26.0
2017-09-11 15:03:00.732944,77.0
2017-09-12 15:03:00.732944,1.0
2017-09-13 15:03:00.732944,83.0
2017-09-14 15:03:00.732944,3.0
2017-09-15 15:03:00.732944,56.0
2017-09-16 15:03:00.732944,40.0
2017-09-17 15:03:00.732944,80.0
2017-09-18 15:03:00.732944,49.0
2017-09-19 15:03:00.732944,96.0
2017-09-20 15:03:00.732944,11.0
2017-09-21 15:03:00.732944,82.0
2017-09-22 15:03:00.732944,31.0
2017-09-23 15:03:00.732944,11.0
2017-09-24 15:03:00.732944,4.0
2017-09-25 15:03:00.732944,84.0
2017-09-26 15:03:00.732944,70.0
2017-09-27 15:03:00.732944,1.0
2017-09-28 15:03:00.732944,23.0
2017-09-29 15:03:00.732944,11.0
2017-09-30 15:03:00.732944,3.0
2017-10-01 15:03:00.732944,86.0
2017-10-02 15:03:00.732944,85.0
2017-10-03 15:03:00.732944,42.0
2017-10-04 15:03:00.732944,83.0
2017-10-05 15:03:00.732944,76.0
2017-10-06 15:03:00.732944,73.0
2017-10-07 15:03:00.732944,73.0
2017-10-08 15:03:00.732944,13.0
2017-10-09 15:03:00.732944,84.0
2017-10-10 15:03:00.732944,45.0
2017-10-11 15:03:00.732944,38.0
2017-10-12 15:03:00.732944,51.0
2017-10-13 15:03:00.732944,71.0
2017-10-14 15:03:00.732944,31.0
2017-10-15 15:03:00.732944,55.0
2017-10-16 15:03:00.732944,27.0
2017-10-17 15:03:00.732944,75.0
2017-10-18 15:03:00.732944,0.0
2017-10-19 15:03:00.732944,69.0
2017-10-20 15:03:00.732944,61.0
2017-10-21 15:03:00.732944,62.0
2017-10-22 15:03:00.732944,96.0
2017-10-23 15:03:00.732944,39.0
2017-10-24 15:03:00.732944,78.0
2017-10-25 15:03:00.732944,42.0
2017-10-26 15:03:00.732944,20.0
2017-10-27 15:03:00.732944,29.0
2017-10-28 15:03:00.732944,97.0
2017-10-29 15:03:00.732944,86.0
2017-10-30 15:03:00.732944,80.0
2017-10-31 15:03:00.732944,66.0
2017-11-01 15:03:00.732944,58.0
2017-11-02 15:03:00.732944,43.0
2017-11-03 15:03:00.732944,56.0
