date,timestamp,open,high,low,close
2010-07-16,1279324800,0.04951,0.04951,0.04951,0.04951
2010-07-17,1279411200,0.04951,0.08585,0.05941,0.08584
2010-07-18,1279497600,0.08584,0.09307,0.07723,0.0808
2010-07-19,1279584000,0.0808,0.08181,0.07426,0.07474
2010-07-20,1279670400,0.07474,0.07921,0.06634,0.07921
2010-07-21,1279756800,0.07921,0.08181,0.0505,0.0505
2010-07-22,1279843200,0.0505,0.06767,0.0505,0.06262
2010-07-23,1279929600,0.06262,0.06161,0.05049,0.05454
2010-07-24,1280016000,0.05454,0.05941,0.0505,0.0505
2010-07-25,1280102400,0.0505,0.056,0.05,0.056
2010-07-26,1280188800,0.056,0.0605,0.053,0.06
2010-07-27,1280275200,0.06,0.062,0.054,0.0589
2010-07-28,1280361600,0.0589,0.0699,0.0571,0.0699
2010-07-29,1280448000,0.0699,0.0698,0.0582,0.0627
2010-07-30,1280534400,0.0627,0.06889,0.056,0.06785
2010-07-31,1280620800,0.06785,0.065,0.06,0.0611
2010-08-01,1280707200,0.0611,0.0633,0.06,0.06
2010-08-02,1280793600,0.06,0.065,0.059,0.06
2010-08-03,1280880000,0.06,0.06231,0.057,0.057
2010-08-04,1280966400,0.057,0.061,0.058,0.061
2010-08-05,1281052800,0.061,0.0624,0.0607,0.0623
2010-08-06,1281139200,0.0623,0.0622,0.059,0.059
2010-08-07,1281225600,0.059,0.061,0.059,0.0609
2010-08-08,1281312000,0.0609,0.0735,0.0593,0.071
2010-08-09,1281398400,0.071,0.0709,0.06651,0.07
2010-08-10,1281484800,0.07,0.07541,0.06,0.067
2010-08-11,1281571200,0.067,0.07,0.06141,0.07
2010-08-12,1281657600,0.07,0.068,0.0645,0.0645
2010-08-13,1281744000,0.0645,0.0695,0.0645,0.067
2010-08-14,1281830400,0.067,0.067,0.065,0.06529
2010-08-15,1281916800,0.06529,0.0679,0.062,0.0655
2010-08-16,1282003200,0.0655,0.0769,0.06243,0.07
2010-08-17,1282089600,0.07,0.0733,0.067,0.068
2010-08-18,1282176000,0.068,0.0679,0.0667,0.0667
2010-08-19,1282262400,0.0667,0.0667,0.065,0.0655
2010-08-20,1282348800,0.0655,0.0669,0.0644,0.0664
2010-08-21,1282435200,0.0664,0.0664,0.0612,0.066
2010-08-22,1282521600,0.066,0.06689,0.063,0.06491
2010-08-23,1282608000,0.06491,0.0665,0.06491,0.065
2010-08-24,1282694400,0.065,0.0665,0.0641,0.0648
2010-08-25,1282780800,0.0648,0.0658,0.064,0.064
2010-08-26,1282867200,0.064,0.065,0.063,0.065
2010-08-27,1282953600,0.065,0.065,0.0641,0.0641
2010-08-28,1283040000,0.0641,0.0648,0.064,0.064
2010-08-29,1283126400,0.064,0.069,0.03211,0.06497
